,Province_State,Date,Confirmed Cases,new_cases,Confirmed_Cases_log,7day_avg,14day_avg,21day_avg
8521,Georgia,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
20591,Missouri,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
21301,Montana,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
2841,Arkansas,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
26271,North Carolina,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
12781,Indiana,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
19171,Minnesota,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
28401,Ohio,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
5681,Delaware,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
15621,Louisiana,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
10651,Hawaii,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
35501,Utah,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
39761,Wisconsin,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
38341,Washington,2020-01-23,1,0.0,0.6931471805599453,0.0,0.0,0.0
16331,Maine,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
30531,Pennsylvania,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
9941,Guam,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
31951,Rhode Island,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
7101,District of Columbia,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
711,Alaska,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
14201,Kansas,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
1421,American Samoa,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
17041,Maryland,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
17751,Massachusetts,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
29821,Oregon,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
14911,Kentucky,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
4971,Connecticut,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
18461,Michigan,2020-01-23,0,0.0,0.0,0.0,0.0,0.0
